英文名,性别,音标,中文译名,来源,流行度
Elaine,女性,[i'lein],伊莱恩,希腊语,无
Elbert,男性,['elb&#601;t],阿尔伯特,古英语,★
Elder,中性,['eld&#601;],埃尔德,古英语,★★
Eleanor,女性,['elin&#601;],埃莉诺,希腊语,无
Eleanora,女性,[.el&#601;'n&#596;:r&#601;],埃莉诺拉,希腊语,无
Eleanore,女性,['elin&#601;],埃莉诺,希腊语,无
Elena,女性,[&#601;'lein&#601;],埃琳娜,希腊语,无
Elfreda,女性,[el'fri:d&#601;],埃尔弗丽达,古英语,无
Eli,男性,['i:lai],伊莱,希伯来语,无
Elias,男性,[i'lai&#601;s],伊莱亚斯,希伯来语,★★
Elijah,男性,[i'laid&#658;&#601;],伊利亚,希伯来语,无
Elin,女性,['elin],埃琳,威尔士语或希腊语,无
Elinor,女性,['elin&#601;],埃莉诺,希腊语,无
Elisabeth,女性,[i'liz&#601;b&#601;&#952;],伊丽莎白,希伯来语,无
Elise,女性,[e'li:z],埃莉斯,希伯来语或拉丁语,无
Elisha,男性,[i'lai&#643;&#601;],伊莱沙/伊莱莎,希伯来语,无
Elissa,女性,[i'lis&#601;],艾丽莎,希腊语,无
Eliza,女性,[i'laiz&#601;],伊莱扎,希伯来语,无
Elizabeth,女性,[i'liz&#601;b&#601;&#952;],伊莉莎白,希伯来语,无
Elkins,中性,['elkinz],埃尔金斯,英语,★★
Ella,女性,['el&#601;],埃拉,古德语,无
Ellen,女性,['elin],艾伦,希腊语,无
Ellie,女性,['eli],埃莉,希腊语,无
Elliot,男性,[eli'&#596;t],埃利奥特,希伯来语,★★
Elliott,男性,['elij&#601;t],埃利奥特,希伯来人,★★★★
Ellis,男性,['elis],埃利斯,希伯来语,★★★★
Ellison,中性,['elis&#601;n],埃利森,古英语,★★★
Ellsworth,男性,['elzw&#601;:&#952;],埃尔斯沃思,古英语,★★
Elma,女性,['elm&#601;],埃尔玛,古德语,无
Elmer,男性,['elm&#601;],埃尔默,英语,★
Elmo,男性,,埃尔莫,希腊语，德语,无
Elmore,男性,['elm&#596;:],埃尔莫尔,古英语,★★
Eloisa,女性,,埃洛伊萨,法语,无
Eloise,女性,,埃洛伊丝,法语,无
Elsa,女性,['els&#601;],埃尔莎,德语,无
Else,女性,[els],埃尔丝,希伯来语,无
Elsie,女性,['elsi],埃尔西,德语,无
Elsy,中性,,埃尔西,,无
Elton,男性,['elt&#601;n],埃尔顿,古英语,★
Elva,女性,['elv&#601;],埃尔瓦,日耳曼语，爱尔兰语,无
Elvin,男性,['elvin],埃尔文,古英语,无
Elvira,女性,[el'vai&#601;r&#601;],埃尔维拉,日耳曼语,无
Elvis,男性,[elvis],埃尔维斯,斯堪的纳维亚语,无
Elwood,男性,['elwud],埃尔伍德,古英语,★
Emanuel,男性,[i'm&#230;nju&#601;l],伊曼纽尔,希伯来语,★
Emeline,女性,,埃米琳,德语,无
Emerald,女性,['em&#601;r&#601;ld],埃默洛尔德,法语，英语,无
Emerson,中性,['em&#601;sn],埃默森；爱默生,古英语,★★★
Emery,男性,['em&#601;ri],埃默里,古英语,★★
Emil,男性,,埃米尔,拉丁语,无
Emile,男性,[ei'mi:l],埃米尔,法语,无
Emilia,女性,[i'mili&#601;],伊米莉亚,拉丁语,无
Emily,女性,['em&#601;li],埃米莉,德语,无
Emma,女性,['em&#601;],艾玛,古德语,无
Emmanuel,男性,[i'm&#230;nju&#601;l],伊曼纽尔,希伯来语,★
Emmett,男性,['emit],埃米特,英语,★
Emmie,女性,,埃米,英语,无
Emmitt,男性,['emit],埃米特,,无
Emory,男性,['em&#601;ri],埃默里,英语,★
Ena,女性,,伊娜,希伯来语，凯尔特语，爱尔兰语,无
England,中性,['ingl&#601;nd],英格兰,英语,★★
Engle,男性,['e&#331;gl],恩格尔,,★★
English,中性,['i&#331;gli&#643;],英格利希,古英语，盖尔语,★★★
Enid,女性,['i:nid],伊妮德,凯尔特语，威尔士语,无
Ennis,男性,['enis],恩尼斯,希腊语,★★
Enoch,男性,['i:n&#596;k],伊诺克,希伯来语,★
Epps,中性,[eps],埃普斯,英语,★★
Eric,男性,['erik],埃里克,古诺斯语,无
Erica,女性,['erik&#601;],埃丽卡,拉丁语，古诺斯语,无
Erma,女性,['&#604;:m&#601;],厄玛,拉丁语,无
Ernest,男性,['&#601;:nist],欧内斯特,古德语,★
Ernestine,女性,['&#601;:n&#601;sti:n],欧内斯廷,德语,无
Ernie,男性,['&#604;:ni],厄尼,德语,无
Ernst,男性,[ernst],恩斯特,英语,★★
Errol,男性,['er&#601;l],埃罗尔,拉丁语,无
Ervin,男性,['&#601;:vin],欧文,盖尔语,★★
Erwin,男性,['&#601;:win],欧文,古英语,★★
Escobar,中性,[es'k&#596;v&#596;r],埃斯科瓦尔,,★★
Fabian,男性,['feibj&#601;n],法比安,拉丁语,★
Fagan,中性,['feig&#601;n],费根,盖尔语,★★
Fair,中性,[f&#603;&#601;],费尔,古英语,★★
Fairchild,男性,['f&#603;&#601;t&#643;aild],费尔柴尔德,古英语,★★
Fairy,中性,['f&#603;&#601;ri],费尔里,,无
Faith,女性,[fei&#952;],费思,中世纪英语,★
Fallon,女性,['f&#230;l&#601;n],法伦,爱尔兰语,★
Fannie,女性,['f&#230;ni],范妮,英语,无
Fanny,女性,['f&#230;ni],范妮,拉丁语,无
Farley,男性,['f&#593;:li],法利,古英语,★★★
Farmer,中性,['fa:m&#601;],法默,古英语,★★★
Farr,男性,[fa:],法尔,古英语,★★
Farrah,女性,['f&#230;r&#601;],法拉,中世纪英语,无
Farrar,男性,['f&#230;r&#601;],法勒,中世纪英语,★★
Farrell,男性,['f&#230;r&#601;l],法雷尔,盖尔语,★★★
Farris,男性,['f&#230;ris],法里斯,英语,★★
Faulkner,中性,['f&#596;:kn&#601;],福克纳,英语,★★★
Faust,男性,[faust],浮士德,拉丁语,★★
Faustina,女性,[f&#596;:'sti:n&#601;],福斯蒂娜,,无
Fay,女性,[fei],费伊,拉丁语，古法语,★★
Faye,女性,['feij&#601;],费伊,法语,无
Felice,女性,[f&#601;'li:s],费利斯,拉丁语,★
Felicia,未知,[f&#601;'lisi&#601;],费利西娅,拉丁语,无
Felipa,女性,[fe'li:pa:],费利珀,拉丁语,无
Felix,男性,['fi:liks],费利克斯,拉丁语,★★
Felton,男性,['felt&#601;n],费尔顿,古英语,★★
Fenton,男性,['fent&#601;n],芬顿,古英语,★★
Ferdinand,男性,['f&#601;:din&#601;nd],费迪南德,日耳曼语,无
Ferguson,中性,['f&#604;:g&#601;sn],弗格森,苏格兰语,★★★★
Fern,女性,[f&#601;:n],弗恩,古英语,★
Fernanda,女性,[f&#604;:'n&#230;nd&#601;],费尔南达,古德语,无
Fernando,男性,[f&#601;'n&#230;nd&#601;],费尔南多,西班牙语,★
Ferne,女性,[f&#604;:n],弗恩,英语,无
Ferris,男性,['feris],费里斯,爱尔兰语,★★
Fidelia,女性,[fi'di:lj&#601;],菲迪莉娅,西班牙语,无
Field,男性,[fi:ld],菲尔德,古英语,★★
Fields,中性,[fi:ldz],菲尔兹,英语,★★★★
Finch,中性,[fint&#643;],芬奇,中世纪英语,★★
Fink,中性,[fi&#331;k],芬克,中世纪英语,★★
Finley,男性,['finli],芬利,英语,★★★
Finn,男性,[fin],菲恩,盖尔语,★★
Finney,中性,['fini:],芬尼,古英语,★★
Fiona,女性,[fi'&#601;un&#601;],菲奥娜,盖尔语,无
Fischer,中性,['fi&#643;&#601;],费歇尔,凯尔特语,★★★
Fish,中性,[fi&#643;],菲什,中世纪英语、古英语,★★
Fisher,男性,['fi&#643;&#601;],费舍尔,古英语,★★★★
Fitch,男性,[fit&#643;],菲奇,古法语,★★
Fitzgerald,男性,[fits'd&#658;er&#601;ld],菲茨杰拉尔德,古法语，古德语，英语,★★★
Fitzpatrick,男性,[fits'p&#230;trik],菲茨帕特里克,英语,★★★
Flaherty,中性,['fl&#230;&#601;ti:],弗莱厄蒂,盖尔语,★★
Flanagan,中性,['fl&#230;n&#601;g&#601;n],弗拉尼根,爱尔兰语,★★
Flavia,女性,['fleivj&#601;],弗莱维娅,拉丁语,无
Fleming,男性,['flemi&#331;],弗莱明,古英语,★★★
Fletcher,男性,['flet&#643;&#601;],弗莱彻,中世纪英语，古法语,★★★
Flint,男性,[flint],弗林特,古英语,★★
Flo,女性,[fl&#601;u],弗洛,拉丁语,无
Flood,中性,[fl&#652;d],弗勒德,古英语,★★
Flora,女性,['fl&#596;:r&#601;],弗洛拉,拉丁语,★
Florence,女性,['fl&#596;:r&#601;ns],弗洛伦斯,拉丁语,★★
Florrie,女性,['fl&#596;ri],弗洛莉,拉丁语,无
Flossie,女性,['fl&#596;si],弗洛西,拉丁语,无
Flowers,中性,['flau&#601;z],弗劳尔斯,英语,★★★
Floy,女性,[fl&#596;i],弗洛伊,拉丁语,无
Floyd,男性,[fl&#596;id],弗洛伊德,凯尔特语,★★★
Flynn,男性,[flin],弗林,爱尔兰语，盖尔语,★★★
Foley,男性,['f&#601;uli],福利,爱尔兰语,★★★
Fonda,中性,['f&#596;nd&#601;],方达,,无
Foote,中性,[fut],富特,英语,★★
Forbes,男性,['f&#596;:bz],福布斯,盖尔语,★★
Ford,男性,[f&#596;:d],福德,古英语,★★★★
Foreman,中性,['f&#596;:m&#601;n],福尔曼,,★★
Forest,男性,['f&#596;rist],福里斯特,德语,★
Forrest,男性,['f&#596;:rist],福里斯特,中世纪英语，拉丁语,★★
Fortune,男性,['f&#596;:t&#643;&#601;n],福琼,古法语,★★
Foster,男性,['f&#596;st&#601;],福斯特,古英语,★★★★
Fowler,男性,['faul&#601;],福勒,英语,★★★
Fox,男性,[f&#596;ks],福克斯,古英语,★★★★
Fran,女性,[fr&#230;n],弗兰,拉丁语,无
Francene,女性,[fr&#230;n'si:n],弗朗辛,法语,无
Frances,女性,['fr&#593;:nsis],弗朗西斯；弗朗西丝,拉丁语,★
Francesca,女性,[fr&#230;n'sesk&#601;],弗朗西斯卡,意大利语,无
Francie,女性,['fra:nsi],弗朗西,英语,无
Francine,女性,[fra:n'si:n],弗朗辛,法语,无
Francis,男性,['fra:nsis],弗朗西斯,拉丁语,★★★
Franco,男性,['fr&#596;&#331;k&#601;u],佛朗哥,西班牙语,★★★
Frankie,男性,['fr&#230;&#331;ki],弗兰基,英语,无
Franklin,男性,['fr&#230;&#331;klin],富兰克林,中世纪英语,★★★★
Franklyn,男性,['fr&#230;&#331;kli&#331;],富兰克林,英语,无
Fraser,男性,['feiz&#601;],弗雷泽,英语,★★
Frazier,男性,['frei&#658;&#601;],弗雷泽,英语,★★★
Fred,中性,[fred],弗雷德,德语,★
Freda,女性,['fri:d&#601;],弗丽达,德语,★
Freddie,男性,['fredi],弗雷迪,德语,无
Freddy,男性,['fredi],弗雷迪,德语,无
Frederic,男性,['fred&#601;rik],弗雷德里克,法语,无
Frederica,女性,[.fred&#601;'ri:k&#601;],弗雷德丽卡,古德语,无
Frederick,男性,['fredrik],弗雷德里克,古德语,★★★
Freeman,男性,['fri:m&#601;n],弗里曼,古英语,★★★★
French,男性,[frent&#643;],弗伦奇,中世纪英语,★★★
Frey,男性,[frei],弗雷,英语,★★
Frieda,女性,['fri:d&#601;],弗里达,斯堪的纳维亚语,无
Friedman,未知,['fri:dm&#601;n],弗里德曼,,★★
Friend,中性,[frend],弗伦德,中世纪英语,★★
Fritz,男性,[frits],弗里茨,古德语,★★
Frost,男性,[fr&#596;st],弗罗斯特,古英语,★★★
Gabriel,中性,['geibri&#601;l],盖布里埃尔,希伯来语,★★
Gabrielle,女性,[.ga:bri'el],盖布丽埃尔,希伯来语,无
Gage,男性,[geid&#658;],盖奇,古法语,★★
Gail,女性,[geil],盖尔,希伯来语,无
Gaines,中性,[geinz],盖恩斯,英语,★★★
Gale,中性,[geil],盖尔,古英语,★★
Galen,男性,['geil&#601;n],盖伦,拉丁语,无
Gallagher,男性,['g&#230;l&#601;h&#601;],加拉赫,盖尔语,★★★
Galloway,男性,['g&#230;l&#601;wei],加洛韦,盖尔语,★★★
Gamble,中性,['g&#230;mbl],甘布尔,古诺斯语,★★★
Gant,中性,[g&#230;nt],甘特,英语,★★
Gardner,中性,['ga:dn&#601;],加德纳,古英语,★★★★
Garfield,男性,['ga:fi:ld],加菲尔德,古英语,★
Garland,中性,['ga:l&#601;nd],加兰,古法语,★★
Garner,中性,['ga:n&#601;],加纳,中世纪英语,★★★
Garnet,女性,['ga:nit],加尼特,英语,无
Garnett,男性,['ga:nit],加尼特,古法语，拉丁语,★★
Garrett,男性,['g&#230;r&#601;t],加勒特,英语,★★★
Garrison,男性,['g&#230;risn],加里森,希伯来语，中世纪英语,★★★
Garry,男性,['g&#230;ri],加里,日耳曼语,★
Garth,男性,[ga:&#952;],加思,斯堪的纳维亚语,★
Gary,男性,['g&#603;&#601;ri],加里,古英语,★★
Gates,中性,[geits],盖茨,古英语,★★★
Gavin,男性,[g&#230;vin],加文,威尔士语,★★
Gay,女性,[gei],盖伊,古法语,★★★
Gaye,女性,[gei],盖伊,英语,无
Gayle,女性,[geil],盖尔,英语,★
Gaylord,男性,['geil&#601;d],盖洛德,古法语,★
Gee,中性,['d&#658;i:],吉,英语,★★
Geiger,中性,['gaig&#601;],盖革,,★★
Gemma,女性,['d&#658;em&#601;],吉玛,意大利语,无
Gene,中性,[d&#658;i:n],吉恩,希腊语,无
Geneva,女性,[d&#658;i'ni:v&#601;],吉尼瓦,古法语,无
Genevieve,女性,['d&#658;en&#601;vi:v],吉纳维夫,法语,无
Gentry,男性,['d&#658;entri],金特里,古英语,★★★
Geoffrey,男性,['d&#658;efri],杰弗里,英语,无
George,男性,[d&#658;&#596;:d&#658;],乔治,希腊语,★★★
Georgia,女性,['d&#658;&#596;:d&#658;j&#601;],乔治亚,希腊语,无
Georgiana,女性,[d&#658;&#596;:d&#658;i'a:n&#601;],乔治亚娜,希腊语,无
Georgie,女性,['d&#658;&#596;:d&#658;i],乔基,英语,无
Georgina,女性,[d&#658;&#596;:'d&#658;i:n&#601;],乔治娜,希腊语,无
Gerald,男性,['d&#658;er&#601;ld],杰拉德,古德语,★
Geraldine,女性,['d&#658;er&#601;ldi:n],杰拉尔丁,古德语,无
Gerard,男性,['d&#658;era:d],杰拉德,德语,★
Gerda,女性,['g&#604;:d&#601;],格尔达,古诺斯语,无
Germaine,女性,[d&#658;e'mein],杰曼,拉丁语,无
German,中性,['d&#658;&#601;:m&#601;n],杰曼,古法语，拉丁语,★★
Gerry,男性,['geri],格里,德语,★
Gertie,女性,['g&#604;:ti],格蒂,德语,无
Gertrude,女性,[g&#601;:tru:d],格特鲁德,日耳曼语,无
Gibbons,中性,['gib&#601;nz],吉本斯,英语,★★
Gibbs,中性,[gibz],吉布斯,,★★★
Gibson,男性,['gibsn],吉布森,古英语,★★★★
Gifford,男性,['gif&#601;d],吉福德,古英语,★★
Gil,男性,[gil],吉尔,希腊语,★★
Gilbert,男性,['gilb&#601;t],吉尔伯特,古法语,★★★
Gilda,女性,['gild&#601;],吉尔达,凯尔特语,无
Giles,中性,[d&#658;ailz],贾尔斯,希腊语,★★★
Gill,中性,[gil],吉尔,盖尔语,★★★
Gillespie,中性,[gi'lespi],吉莱斯皮,盖尔语,★★★
Gilliam,中性,['gil&#601;m],吉列姆,,★★
Gillian,女性,['d&#658;ili&#601;n],吉莉安；吉利恩,拉丁语,★
Gillis,中性,['gilis],吉利斯,苏格兰语,★★
Gilmore,男性,['gilm&#596;:'],吉尔摩,爱尔兰语,★★★
Giovanna,女性,[d&#658;&#596;:'va:nna:],乔凡娜,意大利语,无
Gipson,中性,['gipsn],吉普森,英语,★★
Giselle,女性,[d&#658;i'zel],吉泽尔,日耳曼语,无
Gladys,女性,['gl&#230;dis],格莱迪丝,威尔士语,无
Glass,中性,[gl&#593;:s],格拉斯,古英语，盖尔语,★★★
Gleason,中性,['gli:s&#601;n],格利森,爱尔兰语,★★
Glen,男性,[glen],格伦,盖尔语,★
Glenn,男性,[glen],格伦,凯尔特语,★★★
Gloria,女性,['gl&#596;:ri&#601;],格洛丽亚,拉丁语,★
Glover,中性,['gl&#652;v&#601;],格洛夫,古英语,★★★
Goddard,中性,['g&#596;d&#601;:d],戈达德,日耳曼语,★★
Godfrey,男性,['g&#596;dfri],戈弗雷,古德语,★★
Godwin,男性,['g&#596;dwin],戈德温,古英语,★★
Goff,中性,[g&#596;f],戈夫,英语,★★
Gold,中性,[g&#601;uld],戈尔德,古英语,★★
Goldberg,中性,['g&#601;uldb&#604;:g],戈德堡,,★★
Golden,男性,['g&#601;uld&#601;n],戈尔登,英语,★★★
Goldie,女性,['g&#601;uldi:],戈尔迪,英语,无
Goldsmith,中性,['g&#601;uldsmi&#952;],戈德史密斯,古英语,★★
Goldstein,中性,['g&#601;uldsti:n],戈德斯坦,,★★
Gonzalez,中性,[g&#596;n'za:lez],冈萨雷斯,,★★★★
Good,中性,[gud],古德,中世纪英语,★★
Goode,中性,[gud],古德,,★★
Goodman,中性,['gudm&#601;n],古德曼,古英语,★★★
Goodrich,中性,['gud.rit&#643;],古德里奇,英语,★★
Goodson,中性,['gudsn],古德森,古英语,★★
Goodwin,男性,['gudwin],古德温,古英语,★★★
Gordon,男性,['g&#596;:dn],戈登,古英语或盖尔语,★★★★
Gore,男性,[g&#596;:r],戈尔,古英语,★★
Gorman,男性,['g&#596;:m&#601;n],戈尔曼,盖尔语,★★
Goss,中性,[g&#596;s],戈斯,英语,★★
Gould,中性,[gu:ld],古尔德,英语,★★★
Grace,女性,[greis],格雷丝,拉丁语,★★
Gracia,女性,['grei&#643;i&#601;],格雷莎,英语,★
Grady,男性,['greidi],格雷迪,凯尔特语,★★
Graham,男性,['grei&#601;m],格雷厄姆,英语,★★★★
Granger,男性,['greind&#658;&#601;],格兰杰,盎格鲁诺曼底法语,★★
Grant,男性,[gr&#230;nt],格兰特,盖尔语,★★★★
Granville,男性,['gr&#230;nvil],格兰维尔,古法语,★
Graves,中性,[greivz],格雷夫斯,古英语,★★★
Gray,男性,[grei],格雷,古英语,★★★★
Hackett,男性,['h&#230;kit],哈克特,德语,★★
Hadley,中性,[''h&#230;dli],哈德利,古英语,★★
Hagan,中性,['heig&#601;n],黑根,盖尔语,★★
Hahn,中性,[ha:n],哈恩,德语,★★★
Hailey,中性,['heili],黑利,古英语,★
Haines,中性,['hainz],海恩斯,英语,★★
Hal,男性,[h&#230;l],哈尔,英语,无
Hale,男性,[heil],黑尔,英语,★★★
Haley,女性,['heili],黑利,古英语,★★★
Hall,中性,[h&#596;:l],霍尔,古英语,★★★★★
Halley,男性,['h&#230;li],哈利,古英语,★
Ham,中性,[h&#230;m],哈姆,希伯来语,★★
Hamilton,男性,['h&#230;milt&#601;n],汉密尔顿,古英语,★★★★
Hamlin,男性,['h&#230;mlin],哈姆林,法语,★★
Hamm,中性,[h&#230;m],哈姆,英语,★★
Hammer,男性,['h&#230;m&#601;],哈默,古英语,★★
Hammond,中性,['h&#230;m&#601;nd],哈蒙德,日耳曼语,★★★
Hampton,中性,['h&#230;mpt&#601;n],汉普顿,古英语,★★★
Hancock,男性,['h&#230;nk&#596;k],汉考克,古英语,★★★
Hand,男性,[h&#230;nd],汉德,英语,★★
Handy,中性,['h&#230;ndi],汉迪,英语,★★
Hank,男性,[h&#230;&#331;k],汉克,古德语,无
Hankins,中性,['h&#230;&#331;kinz],汉金斯,英语,★★
Hanks,中性,[h&#230;&#331;ks],汉克斯,中世纪英语,★★
Hanley,男性,['h&#230;nli],汉利,古英语,★★
Hanna,中性,['h&#230;n&#601;],汉纳,希伯来语,★★
Hannah,女性,['h&#230;n&#601;],汉纳；汉娜,希伯来语,★★
Hans,男性,[h&#230;nz],汉斯,斯堪的纳维亚语,★
Hanson,男性,['h&#230;nsn],汉森,丹麦语,★★★
Harden,男性,['h&#593;:dn],哈登,古英语,★★
Harding,男性,['ha:di&#331;],哈丁,古英语,★★★
Hardy,男性,['ha:di],哈迪；哈代,古德语,★★★
Hare,男性,[h&#603;&#601;],黑尔,中世纪英语,★★
Hargrove,男性,['ha:gr&#601;uv],哈格罗夫,古英语,★★
Harlan,男性,['ha:l&#601;n],哈伦,古英语,★★
Harland,男性,['ha:l&#601;nd],哈兰德,古英语,无
Harley,男性,['h&#593;:li],哈利,古英语,★★
Harold,男性,['h&#230;r&#601;ld],哈罗德,斯堪的纳维亚语,★
Harper,男性,['h&#593;:p&#601;],哈珀,古英语,★★★★
Harrell,男性,['h&#230;r&#601;l],哈勒尔,希伯来语,★★★
Harriet,女性,['h&#230;ri&#601;t],哈丽特,古德语,无
Harrington,中性,['h&#230;ri&#331;t&#601;n],哈林顿,古英语,★★★
Harris,男性,['h&#230;ris],哈里斯,英语,★★★★★
Harrison,男性,['h&#230;risn],哈里森,古英语,★★★★
Harry,男性,['h&#230;ri],哈里,古德语,★★
Hart,中性,[ha:t],哈特,古英语,★★★★
Hartley,男性,['ha:tli],哈特利,古英语,★★
Harvey,男性,['ha:vi],哈维,古英语,★★★★
Haskins,中性,['h&#230;skinz],哈斯金斯,,★★
Hassan,男性,['ha:s&#601;n],哈桑,阿拉伯语,★
Hastings,男性,['heisti&#331;z],黑斯廷斯,古英语,★★
Hatch,中性,[h&#230;t&#643;],哈奇,古英语,★★
Hatcher,中性,['h&#230;t&#643;&#601;],海切尔,英语,★★
Hatfield,中性,['h&#230;tfi:ld],哈特菲尔德,古英语,★★★
Hathaway,中性,['h&#230;&#952;&#601;.wei],海瑟薇,中世纪英语,★★
Hattie,女性,['h&#230;ti],哈蒂,英语,无
Hawk,男性,[h&#596;:k],霍克,古英语,★★
Hawkins,中性,['h&#596;:kinz],霍金斯,古英语,★★★★
Hawley,男性,['h&#596;:li],霍利,古英语,★★
Hawthorne,男性,['h&#596;:&#952;&#596;:n],霍索恩,古英语,★★
Hay,男性,[hei],海,苏格兰语,★★
Hayden,中性,['heid&#601;n],海登,古英语,★★★
Hayes,男性,[heiz],海斯,古英语,★★★★
Hayley,女性,['heili],海莉,古英语,无
Haynes,中性,[heinz],海恩斯,,★★★
Hays,中性,[heiz],海斯,,★★★
Haywood,男性,['heiwud],海伍德,古英语,★★
Hazel,女性,['heizl],黑兹尔,英语,★★
Head,中性,[hed],黑德,古英语,★★
Healy,男性,['hi:li],希利,英语,★★
Heard,中性,[h&#601;:d],赫德,中世纪英语,★★
Hearn,中性,[h&#601;:n],赫恩,盖尔语,★★
Heath,男性,[hi:&#952;],希思,中世纪英语,★★★
Heather,女性,['he&#240;&#601;],希瑟,中世纪英语,无
Hector,男性,['hekt&#601;],赫克托,希腊语,★
Hedwig,女性,['hedwig],赫德维格,古德语,无
Helen,女性,['hel&#601;n],海伦,希腊语,无
Helena,女性,['helin&#601;],海伦娜,希腊语,无
Helga,女性,['helg&#601;],赫尔加,日耳曼语,无
Hellen,中性,['hel&#601;n],海伦,英语,无
Heller,男性,['hel&#601;],赫勒,盖尔语,★★
Helms,中性,[helm],赫尔姆斯,英语,★★
Hemphill,中性,['hemphil],亨普希尔,古英语,★★
Henderson,中性,['hend&#601;sn],亨德森,苏格兰语,★★★★
Hendrix,中性,['hendriks],亨德里克斯,,★★
Henley,男性,['henli],亨利,古英语,★★
Henrietta,女性,[.henri'et&#601;],亨利埃塔,古德语,无
Henry,男性,['henri:],亨利,古德语,★★★★
Henson,男性,['hens&#601;n],汉森,苏格兰语,★★★
Herbert,男性,['h&#601;:b&#601;t],赫伯特,日耳曼语,★★
Herman,男性,['h&#601;:m&#601;n],赫尔曼,日耳曼语,★★★
Herring,中性,['heri&#331;],赫林,中世纪英语,★★★
Herrington,中性,['heri&#331;t&#601;n],赫林顿,古英语,★★
Herron,中性,['her&#601;n],赫伦,英语,★★
Herschel,男性,['h&#604;:&#643;&#601;l],赫歇耳,印度语,无
Hertha,女性,['h&#604;:&#952;&#601;],赫莎,日耳曼语,无
Hess,中性,[hes],赫斯,,★★★
Hester,女性,['hest&#601;],赫斯特,波斯语,★★★
Hewitt,中性,['hju:it],休伊特,德语,★★
Hickey,男性,['hiki],希基,爱尔兰语,★★
Hickman,中性,['hikm&#601;n],希克曼,英语,★★★
Hicks,中性,[hiks],希克斯,英语,★★★★
Higgins,中性,['hig&#601;nz],希金斯,爱尔兰语,★★★
Hilaria,女性,[hi'l&#603;&#601;ri&#601;],希莱丽娅,西班牙语,无
Hilary,中性,['hil&#601;ri],希拉里,拉丁语,无
Ian,男性,[i&#601;n],伊恩,苏格兰语,无
Ida,女性,['aid&#601;],艾达,日耳曼语,无
Idell,中性,['aidl],艾德尔,英语,无
Ike,男性,[aik],艾克,希伯来语,无
Ileana,女性,[ai'li:n&#601;],艾琳娜,希腊语,无
Ilse,女性,['ilz&#601;],伊尔泽,英语,无
Imogene,女性,['im&#601;.d&#658;i:n],伊莫吉恩,拉丁语,无
Ines,女性,['i:nes],伊内丝,西班牙语,无
Inez,女性,['i:nez],伊内兹,西班牙语,无
Inge,女性,[ind&#658;],英奇,斯堪的纳维亚语,无
Ingeborg,女性,['i&#331;g&#601;b&#596;:g],英格博格,斯堪的纳维亚语,无
Inger,女性,['i&#331;g&#601;],英格,古诺斯语,无
Ingram,男性,['i&#331;gr&#601;m],英格拉姆,日耳曼语,★★★
Ingrid,女性,['i&#331;grid],英格丽,斯堪的纳维亚语,无
Inman,男性,['inm&#601;n],英曼,古英语,★★
Iona,女性,[ai'&#601;un&#601;],艾奥娜,希腊语,无
Ira,男性,['ai&#601;r&#601;],艾拉,希伯来语,无
Irene,女性,['airi:n],艾琳,希腊语,无
Iris,女性,['airis],艾丽斯,希腊语,无
Irish,中性,['ai&#601;ri&#643;],艾里什,英语,★
Irma,女性,['&#604;:m&#601;],厄玛,日耳曼语,无
Irvin,男性,['&#601;:vin],欧文,盖尔语,★★
Irving,男性,['&#601;:vi&#331;],欧文,凯尔特语,★★
Irwin,男性,['&#601;:win],欧文,古英语,★★
Isa,女性,['aiz&#601;],艾萨,西班牙语,无
Isaac,男性,['aaiz&#601;k],艾萨克,希伯来语,★★
Isabel,女性,['iz&#601;bel],伊莎贝尔,西班牙语,无
Isabella,女性,[.iz&#601;'bel&#601;],伊莎贝拉,希伯来语,无
Isadora,女性,[.iz&#601;'d&#596;:r&#601;],伊莎多拉,希腊语,无
Isaiah,男性,[ai'zai&#601;],艾赛亚,希伯来语,无
Isis,女性,['aisis],伊希斯,埃及语,无
Ismael,男性,['ismi&#601;l],伊斯梅尔,希伯来语,无
Israel,男性,['izrei&#601;],伊斯雷尔,希伯来语,★★
Ivan,男性,['aiv&#601;n],伊凡,俄语,无
Iverson,中性,['aiv&#601;sn],艾弗森,英语,★★
Ivey,中性,['aivi],艾维,古英语,★★
Ivory,女性,['aiv&#601;ri],艾弗里,拉丁语,★★
Ivy,女性,['aivi],艾维,古英语,★★
Jack,男性,[d&#658;&#230;k],杰克,英语,★★
Jackie,中性,['d&#658;&#230;ki],杰基；杰姬,希伯来语,无
Jackson,男性,['d&#658;&#230;ksn],杰克逊,希伯来语,★★★★★
Jacob,男性,['d&#658;eik&#601;b],雅各布,希伯来语,★★
Jacobs,中性,['d&#658;eik&#601;bz],雅各布斯,英语,★★★
Jacobson,中性,['d&#658;eik&#601;bsn],雅各布森,英语,★★★
Jacqueline,女性,['d&#658;&#230;kli:n],杰奎琳,法语,无
Jacques,男性,[&#658;a:k],雅克,法语,★★
Jacquetta,女性,[d&#658;&#601;'ket&#601;],杰凯塔,,无
Jake,男性,[d&#658;eik],杰克,希伯来语,无
James,男性,[d&#658;eimz],詹姆斯,希伯来语,★★★★
Jameson,男性,['d&#658;eimsn],詹姆森,古英语,★★
Jamie,中性,['d&#658;eimi],杰米,希伯来语,无
Jamison,中性,['d&#658;eimis&#601;n],贾米森,苏格兰语,★★
