  ID | phrase      | source                      | meaning                                     | gender | wuxing | quality | keywords
 301 | 琳            | 补充单字                       | 美玉财富                                     | B      |        | 4     | 富贵财富
 302 | 琅            | 补充单字                       | 琅玕财富                                     | B      |        | 4     | 富贵财富
 303 | 玙            | 补充单字                       | 宝玉财富                                     | B      |        | 4     | 富贵财富
 304 | 琤            | 补充单字                       | 玉声财富                                     | B      |        | 4     | 富贵财富
 305 | 琥            | 补充单字                       | 琥珀财富                                     | B      |        | 4     | 富贵财富
 306 | 璋瑞           | 补充二字词                      | 玉之祥瑞                                     | B      |        | 4     | 富贵财富
 307 | 璐瑶           | 补充二字词                      | 美玉珍宝                                     | B      |        | 4     | 富贵财富
 308 | 璟琛           | 补充二字词                      | 玉光珍宝                                     | B      |        | 4     | 富贵财富
 309 | 珵珩           | 补充二字词                      | 双玉财富                                     | B      |        | 4     | 富贵财富
 310 | 瑄玥           | 补充二字词                      | 璧玉神珠                                     | B      |        | 4     | 富贵财富
 311 | 琳琅           | 补充二字词                      | 美玉满堂                                     | B      |        | 4     | 富贵财富
 312 | 玙璠           | 补充二字词                      | 宝玉财富                                     | B      |        | 4     | 富贵财富
 313 | 琤琮           | 补充二字词                      | 玉声财富                                     | B      |        | 4     | 富贵财富
 314 | 金璐           | 补充二字词                      | 金玉富贵                                     | B      |        | 4     | 富贵财富
 315 | 玉琛           | 补充二字词                      | 玉之珍宝                                     | B      |        | 4     | 富贵财富
 316 | 宝璋           | 补充二字词                      | 宝玉之璋                                     | B      |        | 4     | 富贵财富
 317 | 瑞霖           | 补充二字词                      | 祥瑞甘霖                                     | B      |        | 4     | 富贵财富
 318 | 丰璟           | 补充二字词                      | 丰盛玉光                                     | B      |        | 4     | 富贵财富
 319 | 裕琛           | 补充二字词                      | 富足珍宝                                     | B      |        | 4     | 富贵财富
 320 | 昌瑜           | 补充二字词                      | 昌盛美玉                                     | B      |        | 4     | 富贵财富
 321 | 懿            | 补充单字                       | 美好品德                                     | B      |        | 4     | 品德高尚
 322 | 懋            | 补充单字                       | 勤勉品德                                     | B      |        | 4     | 品德高尚
 323 | 恪            | 补充单字                       | 恭敬谨慎                                     | B      |        | 4     | 品德高尚
 324 | 恂            | 补充单字                       | 诚信踏实                                     | B      |        | 4     | 品德高尚
 325 | 忱            | 补充单字                       | 热忱真诚                                     | B      |        | 4     | 品德高尚
 326 | 恺            | 补充单字                       | 和善可亲                                     | B      |        | 4     | 品德高尚
 327 | 悌            | 补充单字                       | 友爱兄弟                                     | B      |        | 4     | 品德高尚
 328 | 恭            | 补充单字                       | 恭敬有礼                                     | B      |        | 4     | 品德高尚
 329 | 俭            | 补充单字                       | 勤俭节约                                     | B      |        | 4     | 品德高尚
 330 | 让            | 补充单字                       | 谦让有礼                                     | B      |        | 4     | 品德高尚
 331 | 恒            | 补充单字                       | 持之以恒                                     | B      |        | 4     | 品德高尚
 332 | 贞            | 补充单字                       | 坚贞不屈                                     | B      |        | 4     | 品德高尚
 333 | 端            | 补充单字                       | 端庄正直                                     | B      |        | 4     | 品德高尚
 334 | 肃            | 补充单字                       | 严肃恭敬                                     | B      |        | 4     | 品德高尚
 335 | 庄            | 补充单字                       | 庄重得体                                     | B      |        | 4     | 品德高尚
 336 | 懿德           | 补充二字词                      | 美好品德                                     | B      |        | 4     | 品德高尚
 337 | 懋修           | 补充二字词                      | 勤勉修身                                     | B      |        | 4     | 品德高尚
 338 | 恪诚           | 补充二字词                      | 恭敬诚信                                     | B      |        | 4     | 品德高尚
 339 | 恂达           | 补充二字词                      | 诚信通达                                     | B      |        | 4     | 品德高尚
 340 | 忱信           | 补充二字词                      | 热忱诚信                                     | B      |        | 4     | 品德高尚
 341 | 恺悌           | 补充二字词                      | 和善平易                                     | B      |        | 4     | 品德高尚
 342 | 恭俭           | 补充二字词                      | 恭敬勤俭                                     | B      |        | 4     | 品德高尚
 343 | 让谦           | 补充二字词                      | 谦让有礼                                     | B      |        | 4     | 品德高尚
 344 | 恒德           | 补充二字词                      | 恒久美德                                     | B      |        | 4     | 品德高尚
 345 | 贞固           | 补充二字词                      | 坚贞牢固                                     | B      |        | 4     | 品德高尚
 346 | 端庄           | 补充二字词                      | 端庄正直                                     | B      |        | 4     | 品德高尚
 347 | 肃雍           | 补充二字词                      | 恭敬和善                                     | B      |        | 4     | 品德高尚
 348 | 庄诚           | 补充二字词                      | 庄重诚信                                     | B      |        | 4     | 品德高尚
 349 | 正诚           | 补充二字词                      | 正直诚信                                     | B      |        | 4     | 品德高尚
 350 | 厚德           | 补充二字词                      | 厚积美德                                     | B      |        | 4     | 品德高尚
 351 | 昕            | 补充单字                       | 朝阳明亮                                     | B      |        | 4     | 阳光开朗
 352 | 昫            | 补充单字                       | 温暖日出                                     | B      |        | 4     | 阳光开朗
 353 | 晟            | 补充单字                       | 光明旺盛                                     | B      |        | 4     | 阳光开朗
 354 | 暘            | 补充单字                       | 日出东方                                     | B      |        | 4     | 阳光开朗
 355 | 晗            | 补充单字                       | 天将明                                      | B      |        | 4     | 阳光开朗
 356 | 旸            | 补充单字                       | 日出明亮                                     | B      |        | 4     | 阳光开朗
 357 | 曜            | 补充单字                       | 照耀光辉                                     | B      |        | 4     | 阳光开朗
 358 | 曦            | 补充单字                       | 晨光温暖                                     | B      |        | 4     | 阳光开朗
 359 | 煦            | 补充单字                       | 和煦温暖                                     | B      |        | 4     | 阳光开朗
 360 | 昫            | 补充单字                       | 温暖和煦                                     | B      |        | 4     | 阳光开朗
 361 | 暟            | 补充单字                       | 光明美好                                     | B      |        | 4     | 阳光开朗
 362 | 暤            | 补充单字                       | 白昼光明                                     | B      |        | 4     | 阳光开朗
 363 | 昉            | 补充单字                       | 日初明                                      | B      |        | 4     | 阳光开朗
 364 | 昍            | 补充单字                       | 日光明亮                                     | B      |        | 4     | 阳光开朗
 365 | 昀            | 补充单字                       | 日光温暖                                     | B      |        | 4     | 阳光开朗
 366 | 昕阳           | 补充二字词                      | 朝阳阳光                                     | B      |        | 4     | 阳光开朗
 367 | 昫然           | 补充二字词                      | 温暖自然                                     | B      |        | 4     | 阳光开朗
 368 | 晟睿           | 补充二字词                      | 光明睿智                                     | B      |        | 4     | 阳光开朗
 369 | 暘曦           | 补充二字词                      | 日出晨光                                     | B      |        | 4     | 阳光开朗
 370 | 晗光           | 补充二字词                      | 晨光初现                                     | B      |        | 4     | 阳光开朗
 371 | 旸谷           | 补充二字词                      | 日出之谷                                     | B      |        | 4     | 阳光开朗
 372 | 曜光           | 补充二字词                      | 照耀光芒                                     | B      |        | 4     | 阳光开朗
 373 | 曦晨           | 补充二字词                      | 晨光初照                                     | B      |        | 4     | 阳光开朗
 374 | 煦和           | 补充二字词                      | 温暖和煦                                     | B      |        | 4     | 阳光开朗
 375 | 暟悦           | 补充二字词                      | 光明喜悦                                     | B      |        | 4     | 阳光开朗
 376 | 昉始           | 补充二字词                      | 日出之始                                     | B      |        | 4     | 阳光开朗
 377 | 昀熙           | 补充二字词                      | 日光和煦                                     | B      |        | 4     | 阳光开朗
 378 | 乐熙           | 补充二字词                      | 快乐和煦                                     | B      |        | 4     | 阳光开朗
 379 | 欣然           | 补充二字词                      | 欢喜自然                                     | B      |        | 4     | 阳光开朗
 380 | 开朗           | 补充二字词                      | 心胸开阔                                     | B      |        | 4     | 阳光开朗
 381 | 婵            | 补充单字                       | 美好姿态                                     | B      |        | 4     | 美丽俊俏
 382 | 娟            | 补充单字                       | 秀丽美好                                     | B      |        | 4     | 美丽俊俏
 383 | 娉            | 补充单字                       | 娉婷姿态                                     | B      |        | 4     | 美丽俊俏
 384 | 婀            | 补充单字                       | 婀娜多姿                                     | B      |        | 4     | 美丽俊俏
 385 | 娆            | 补充单字                       | 娇娆美好                                     | B      |        | 4     | 美丽俊俏
 386 | 妩            | 补充单字                       | 妩媚动人                                     | B      |        | 4     | 美丽俊俏
 387 | 妍            | 补充单字                       | 美丽娇妍                                     | B      |        | 4     | 美丽俊俏
 388 | 姿            | 补充单字                       | 姿态美好                                     | B      |        | 4     | 美丽俊俏
 389 | 娈            | 补充单字                       | 美好相貌                                     | B      |        | 4     | 美丽俊俏
 390 | 媗            | 补充单字                       | 美好温婉                                     | B      |        | 4     | 美丽俊俏
 391 | 嫤            | 补充单字                       | 美好谨慎                                     | B      |        | 4     | 美丽俊俏
 392 | 嬛            | 补充单字                       | 轻柔美好                                     | B      |        | 4     | 美丽俊俏
 393 | 妤            | 补充单字                       | 捷敏美好                                     | B      |        | 4     | 美丽俊俏
 394 | 妡            | 补充单字                       | 女子美好                                     | B      |        | 4     | 美丽俊俏
 395 | 姮            | 补充单字                       | 嫦娥美好                                     | B      |        | 4     | 美丽俊俏
 396 | 婵娟           | 补充二字词                      | 美好姿态                                     | B      |        | 4     | 美丽俊俏
 397 | 娉婷           | 补充二字词                      | 娉婷姿态                                     | B      |        | 4     | 美丽俊俏
 398 | 婀娜           | 补充二字词                      | 婀娜多姿                                     | B      |        | 4     | 美丽俊俏
 399 | 妩媚           | 补充二字词                      | 妩媚动人                                     | B      |        | 4     | 美丽俊俏
 400 | 妍姿           | 补充二字词                      | 美丽姿态                                     | B      |        | 4     | 美丽俊俏
 401 | 娈婉           | 补充二字词                      | 美好温婉                                     | B      |        | 4     | 美丽俊俏
 402 | 嫤妤           | 补充二字词                      | 美好德行                                     | B      |        | 4     | 美丽俊俏
 403 | 嬛嬛           | 补充二字词                      | 轻柔美好                                     | B      |        | 4     | 美丽俊俏
 404 | 如嫣           | 补充二字词                      | 如花嫣然                                     | B      |        | 4     | 美丽俊俏
 405 | 若溪           | 补充二字词                      | 如溪清澈                                     | B      |        | 4     | 美丽俊俏
 406 | 似玥           | 补充二字词                      | 似月神珠                                     | B      |        | 4     | 美丽俊俏
 407 | 宛瑜           | 补充二字词                      | 温婉美玉                                     | B      |        | 4     | 美丽俊俏
 408 | 姝瑶           | 补充二字词                      | 美好美玉                                     | B      |        | 4     | 美丽俊俏
 409 | 倩兮           | 补充二字词                      | 笑容美好                                     | B      |        | 4     | 美丽俊俏
 410 | 秀妍           | 补充二字词                      | 秀丽美妍                                     | B      |        | 4     | 美丽俊俏
 411 | 砺            | 补充单字                       | 磨砺坚强                                     | B      |        | 4     | 勇敢坚强
 412 | 砥            | 补充单字                       | 砥柱中流                                     | B      |        | 4     | 勇敢坚强
 413 | 锷            | 补充单字                       | 刀剑锋利                                     | B      |        | 4     | 勇敢坚强
 414 | 铠            | 补充单字                       | 铠甲坚强                                     | B      |        | 4     | 勇敢坚强
 415 | 铮            | 补充单字                       | 铮铮铁骨                                     | B      |        | 4     | 勇敢坚强
 416 | 锵            | 补充单字                       | 锵锵有力                                     | B      |        | 4     | 勇敢坚强
 417 | 钧            | 补充单字                       | 雷霆万钧                                     | B      |        | 4     | 勇敢坚强
 418 | 铭            | 补充单字                       | 铭记坚强                                     | B      |        | 4     | 勇敢坚强
 419 | 锐            | 补充单字                       | 锐意进取                                     | B      |        | 4     | 勇敢坚强
 420 | 砺            | 补充单字                       | 磨砺意志                                     | B      |        | 4     | 勇敢坚强
 421 | 悍            | 补充单字                       | 勇悍坚强                                     | B      |        | 4     | 勇敢坚强
 422 | 犟            | 补充单字                       | 倔强坚强                                     | B      |        | 4     | 勇敢坚强
 423 | 刚            | 补充单字                       | 刚正不阿                                     | B      |        | 4     | 勇敢坚强
 424 | 强            | 补充单字                       | 自强不息                                     | B      |        | 4     | 勇敢坚强
 425 | 毅            | 补充单字                       | 坚毅不拔                                     | B      |        | 4     | 勇敢坚强
 426 | 砺志           | 补充二字词                      | 磨砺意志                                     | B      |        | 4     | 勇敢坚强
 427 | 砥柱           | 补充二字词                      | 中流砥柱                                     | B      |        | 4     | 勇敢坚强
 428 | 锷锋           | 补充二字词                      | 锋芒毕露                                     | B      |        | 4     | 勇敢坚强
 429 | 铠铭           | 补充二字词                      | 铠甲铭记                                     | B      |        | 4     | 勇敢坚强
 430 | 铮铭           | 补充二字词                      | 铮铮铭记                                     | B      |        | 4     | 勇敢坚强
 431 | 钧天           | 补充二字词                      | 雷霆万钧                                     | B      |        | 4     | 勇敢坚强
 432 | 锐志           | 补充二字词                      | 锐意进取                                     | B      |        | 4     | 勇敢坚强
 433 | 悍勇           | 补充二字词                      | 勇猛强悍                                     | B      |        | 4     | 勇敢坚强
 434 | 劲松           | 补充二字词                      | 如松坚韧                                     | B      |        | 4     | 勇敢坚强
 435 | 浩然           | 补充二字词                      | 浩然正气                                     | B      |        | 4     | 勇敢坚强
 436 | 刚毅           | 补充二字词                      | 刚正坚毅                                     | B      |        | 4     | 勇敢坚强
 437 | 恒毅           | 补充二字词                      | 恒久坚毅                                     | B      |        | 4     | 勇敢坚强
 438 | 维刚           | 补充二字词                      | 维护刚正                                     | B      |        | 4     | 勇敢坚强
 439 | 以恒           | 补充二字词                      | 持之以恒                                     | B      |        | 4     | 勇敢坚强
 440 | 必强           | 补充二字词                      | 必定坚强                                     | B      |        | 4     | 勇敢坚强
 441 | 禧            | 补充单字                       | 吉祥幸福                                     | B      |        | 4     | 幸福美满
 442 | 祺            | 补充单字                       | 吉祥如意                                     | B      |        | 4     | 幸福美满
 443 | 祎            | 补充单字                       | 美好幸福                                     | B      |        | 4     | 幸福美满
 444 | 禛            | 补充单字                       | 真诚幸福                                     | B      |        | 4     | 幸福美满
 445 | 祜            | 补充单字                       | 福禄幸福                                     | B      |        | 4     | 幸福美满
 446 | 祚            | 补充单字                       | 福运幸福                                     | B      |        | 4     | 幸福美满
 447 | 祯            | 补充单字                       | 吉祥幸福                                     | B      |        | 4     | 幸福美满
 448 | 祥            | 补充单字                       | 吉祥如意                                     | B      |        | 4     | 幸福美满
 449 | 祺            | 补充单字                       | 安泰幸福                                     | B      |        | 4     | 幸福美满
 450 | 禤            | 补充单字                       | 幸福安康                                     | B      |        | 4     | 幸福美满
 451 | 禚            | 补充单字                       | 幸福美好                                     | B      |        | 4     | 幸福美满
 452 | 禔            | 补充单字                       | 幸福安宁                                     | B      |        | 4     | 幸福美满
 453 | 禟            | 补充单字                       | 幸福广大                                     | B      |        | 4     | 幸福美满
 454 | 禥            | 补充单字                       | 幸福盛德                                     | B      |        | 4     | 幸福美满
 455 | 禨            | 补充单字                       | 幸福祥瑞                                     | B      |        | 4     | 幸福美满
 456 | 禧年           | 补充二字词                      | 吉祥之年                                     | B      |        | 4     | 幸福美满
 457 | 祺祥           | 补充二字词                      | 吉祥如意                                     | B      |        | 4     | 幸福美满
 458 | 祎祯           | 补充二字词                      | 美好吉祥                                     | B      |        | 4     | 幸福美满
 459 | 祜祚           | 补充二字词                      | 福运长久                                     | B      |        | 4     | 幸福美满
 460 | 嘉祥           | 补充二字词                      | 美好吉祥                                     | B      |        | 4     | 幸福美满
 461 | 庆祥           | 补充二字词                      | 喜庆吉祥                                     | B      |        | 4     | 幸福美满
 462 | 瑞祥           | 补充二字词                      | 祥瑞吉祥                                     | B      |        | 4     | 幸福美满
 463 | 福祺           | 补充二字词                      | 福气吉祥                                     | B      |        | 4     | 幸福美满
 464 | 祉祯           | 补充二字词                      | 福祚吉祥                                     | B      |        | 4     | 幸福美满
 465 | 和美           | 补充二字词                      | 和谐美满                                     | B      |        | 4     | 幸福美满
 466 | 欣悦           | 补充二字词                      | 欣喜愉悦                                     | B      |        | 4     | 幸福美满
 467 | 愉然           | 补充二字词                      | 愉悦自然                                     | B      |        | 4     | 幸福美满
 468 | 圆融           | 补充二字词                      | 圆满融通                                     | B      |        | 4     | 幸福美满
 469 | 洽怡           | 补充二字词                      | 和洽愉悦                                     | B      |        | 4     | 幸福美满
 470 | 天伦           | 补充二字词                      | 天伦之乐                                     | B      |        | 4     | 幸福美满
 471 | 辞            | 补充单字                       | 文辞才华                                     | B      |        | 4     | 才华艺术
 472 | 赋            | 补充单字                       | 诗赋才华                                     | B      |        | 4     | 才华艺术
 473 | 颂            | 补充单字                       | 歌颂才华                                     | B      |        | 4     | 才华艺术
 474 | 咏            | 补充单字                       | 吟咏才华                                     | B      |        | 4     | 才华艺术
 475 | 谱            | 补充单字                       | 谱写才华                                     | B      |        | 4     | 才华艺术
 476 | 曲            | 补充单字                       | 乐曲才华                                     | B      |        | 4     | 才华艺术
 477 | 律            | 补充单字                       | 音律才华                                     | B      |        | 4     | 才华艺术
 478 | 调            | 补充单字                       | 音调才华                                     | B      |        | 4     | 才华艺术
 479 | 章            | 补充单字                       | 文章才华                                     | B      |        | 4     | 才华艺术
 480 | 篇            | 补充单字                       | 篇章才华                                     | B      |        | 4     | 才华艺术
 481 | 翰            | 补充单字                       | 翰墨才华                                     | B      |        | 4     | 才华艺术
 482 | 墨            | 补充单字                       | 笔墨才华                                     | B      |        | 4     | 才华艺术
 483 | 砚            | 补充单字                       | 砚台才华                                     | B      |        | 4     | 才华艺术
 484 | 笺            | 补充单字                       | 信笺才华                                     | B      |        | 4     | 才华艺术
 485 | 篆            | 补充单字                       | 篆刻才华                                     | B      |        | 4     | 才华艺术
 486 | 辞章           | 补充二字词                      | 文辞华章                                     | B      |        | 4     | 才华艺术
 487 | 赋颂           | 补充二字词                      | 诗赋歌功                                     | B      |        | 4     | 才华艺术
 488 | 咏怀           | 补充二字词                      | 吟咏情怀                                     | B      |        | 4     | 才华艺术
 489 | 谱曲           | 补充二字词                      | 谱写乐曲                                     | B      |        | 4     | 才华艺术
 490 | 律韵           | 补充二字词                      | 音律韵味                                     | B      |        | 4     | 才华艺术
 491 | 章篇           | 补充二字词                      | 文章篇章                                     | B      |        | 4     | 才华艺术
 492 | 翰墨           | 补充二字词                      | 翰墨书香                                     | B      |        | 4     | 才华艺术
 493 | 墨砚           | 补充二字词                      | 笔墨砚台                                     | B      |        | 4     | 才华艺术
 494 | 笺素           | 补充二字词                      | 信笺朴素                                     | B      |        | 4     | 才华艺术
 495 | 篆刻           | 补充二字词                      | 篆刻艺术                                     | B      |        | 4     | 才华艺术
 496 | 文翰           | 补充二字词                      | 文章华美                                     | B      |        | 4     | 才华艺术
 497 | 墨香           | 补充二字词                      | 笔墨书香                                     | B      |        | 4     | 才华艺术
 498 | 弦歌           | 补充二字词                      | 琴瑟和鸣                                     | B      |        | 4     | 才华艺术
 499 | 书韵           | 补充二字词                      | 书卷气韵                                     | B      |        | 4     | 才华艺术
 500 | 诗语           | 补充二字词                      | 诗意语言                                     | B      |        | 4     | 才华艺术
